,Title,Rating,Metascore,No Votes,Url,Description
29,Requiem for a Dream,8.3,71,883016,https://www.imdb.com/title/tt0180093/?ref_=sr_t_30,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
30,Parasite,8.5,96,909074,https://www.imdb.com/title/tt6751668/?ref_=sr_t_31,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
31,There Will Be Blood,8.2,93,628154,https://www.imdb.com/title/tt0469494/?ref_=sr_t_32,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
32,Joker,8.4,59,1428592,https://www.imdb.com/title/tt7286456/?ref_=sr_t_33,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
33,Se7en,8.6,65,1755833,https://www.imdb.com/title/tt0114369/?ref_=sr_t_34,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
34,Avengers: Endgame,8.4,78,1231502,https://www.imdb.com/title/tt4154796/?ref_=sr_t_35,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
35,Harry Potter and the Goblet of Fire,7.7,81,665900,https://www.imdb.com/title/tt0330373/?ref_=sr_t_36,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
36,The Matrix,8.7,73,2010792,https://www.imdb.com/title/tt0133093/?ref_=sr_t_37,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
37,Little Women,7.8,91,233292,https://www.imdb.com/title/tt3281548/?ref_=sr_t_38,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
38,Gone Girl,8.1,79,1043106,https://www.imdb.com/title/tt2267998/?ref_=sr_t_39,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
39,American Beauty,8.3,84,1194629,https://www.imdb.com/title/tt0169547/?ref_=sr_t_40,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
40,Schindler's List,9.0,95,1421433,https://www.imdb.com/title/tt0108052/?ref_=sr_t_41,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
41,The Departed,8.5,85,1394763,https://www.imdb.com/title/tt0407887/?ref_=sr_t_42,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
42,The Silence of the Lambs,8.6,86,1513386,https://www.imdb.com/title/tt0102926/?ref_=sr_t_43,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
43,The Father,8.2,88,182426,https://www.imdb.com/title/tt10272386/?ref_=sr_t_44,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
44,Forrest Gump,8.8,82,2204068,https://www.imdb.com/title/tt0109830/?ref_=sr_t_45,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
45,Promising Young Woman,7.5,72,200347,https://www.imdb.com/title/tt9620292/?ref_=sr_t_46,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
46,Kong: Skull Island,6.7,62,339128,https://www.imdb.com/title/tt3731562/?ref_=sr_t_47,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden."
47,Good Will Hunting,8.3,70,1033896,https://www.imdb.com/title/tt0119217/?ref_=sr_t_48,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
48,Saving Private Ryan,8.6,91,1465723,https://www.imdb.com/title/tt0120815/?ref_=sr_t_49,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
49,The Prestige,8.5,66,1411537,https://www.imdb.com/title/tt0482571/?ref_=sr_t_50,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
50,Harry Potter and the Deathly Hallows: Part 2,8.1,85,927522,https://www.imdb.com/title/tt1201607/?ref_=sr_t_51,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
51,No Country for Old Men,8.2,92,1035135,https://www.imdb.com/title/tt0477348/?ref_=sr_t_52,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
52,Troy,7.3,56,560611,https://www.imdb.com/title/tt0332452/?ref_=sr_t_53,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
53,Pride & Prejudice,7.8,82,321382,https://www.imdb.com/title/tt0414387/?ref_=sr_t_54,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
54,Prisoners,8.1,70,783180,https://www.imdb.com/title/tt1392214/?ref_=sr_t_55,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
55,The Lord of the Rings: The Return of the King,9.0,94,1936846,https://www.imdb.com/title/tt0167260/?ref_=sr_t_56,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
56,Harry Potter and the Prisoner of Azkaban,7.9,82,675124,https://www.imdb.com/title/tt0304141/?ref_=sr_t_57,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
57,Jurassic Park,8.2,68,1045004,https://www.imdb.com/title/tt0107290/?ref_=sr_t_58,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
