,Title,Rating,Metascore,No Votes,Url,Description
212,The Mask,6.9,59,410863,https://www.imdb.com/title/tt0110475/?ref_=sr_t_213,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
213,The Rock,7.4,58,353316,https://www.imdb.com/title/tt0117500/?ref_=sr_t_214,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
214,Minority Report,7.6,80,575877,https://www.imdb.com/title/tt0181689/?ref_=sr_t_215,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
215,The Lion King,6.8,55,261892,https://www.imdb.com/title/tt6105098/?ref_=sr_t_216,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
216,Little Children,7.5,75,115538,https://www.imdb.com/title/tt0404203/?ref_=sr_t_217,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts."
217,Sideways,7.5,94,199465,https://www.imdb.com/title/tt0375063/?ref_=sr_t_218,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
218,Margin Call,7.1,76,141361,https://www.imdb.com/title/tt1615147/?ref_=sr_t_219,Follows the key people at an investment bank over a 24-hour period during the early stages of the 2008 financial crisis.
219,Bohemian Rhapsody,7.9,49,575664,https://www.imdb.com/title/tt1727824/?ref_=sr_t_220,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
220,Interview with the Vampire: The Vampire Chronicles,7.5,60,341909,https://www.imdb.com/title/tt0110148/?ref_=sr_t_221,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
221,The Impossible,7.5,73,237641,https://www.imdb.com/title/tt1649419/?ref_=sr_t_222,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.
222,The Reader,7.6,58,255613,https://www.imdb.com/title/tt0976051/?ref_=sr_t_223,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
223,WALL·E,8.4,95,1176057,https://www.imdb.com/title/tt0910970/?ref_=sr_t_224,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
224,Nocturnal Animals,7.5,67,298030,https://www.imdb.com/title/tt4550098/?ref_=sr_t_225,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
225,Manchester by the Sea,7.8,96,304367,https://www.imdb.com/title/tt4034228/?ref_=sr_t_226,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
226,Erin Brockovich,7.4,73,214264,https://www.imdb.com/title/tt0195685/?ref_=sr_t_227,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
227,Misery,7.8,75,229787,https://www.imdb.com/title/tt0100157/?ref_=sr_t_228,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
228,The Lovely Bones,6.6,42,177381,https://www.imdb.com/title/tt0380510/?ref_=sr_t_229,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.
229,Moulin Rouge!,7.6,66,295914,https://www.imdb.com/title/tt0203009/?ref_=sr_t_230,A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
230,Dances with Wolves,8.0,72,284639,https://www.imdb.com/title/tt0099348/?ref_=sr_t_231,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
231,A Quiet Place,7.5,82,569257,https://www.imdb.com/title/tt6644200/?ref_=sr_t_232,A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.
232,13 Hours,7.3,48,156531,https://www.imdb.com/title/tt4172430/?ref_=sr_t_233,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
233,Star Wars: Episode VIII - The Last Jedi,6.9,84,661367,https://www.imdb.com/title/tt2527336/?ref_=sr_t_234,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past."
234,TRON: Legacy,6.8,49,351242,https://www.imdb.com/title/tt1104001/?ref_=sr_t_235,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
235,Passengers,7.0,41,435424,https://www.imdb.com/title/tt1355644/?ref_=sr_t_236,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.
236,Coraline,7.7,80,257365,https://www.imdb.com/title/tt0327597/?ref_=sr_t_237,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
237,Moonlight,7.4,99,325602,https://www.imdb.com/title/tt4975722/?ref_=sr_t_238,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood."
238,The Shape of Water,7.3,87,440651,https://www.imdb.com/title/tt5580390/?ref_=sr_t_239,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
239,Another Round,7.7,79,185334,https://www.imdb.com/title/tt10288566/?ref_=sr_t_240,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
240,Master and Commander: The Far Side of the World,7.5,81,234036,https://www.imdb.com/title/tt0311113/?ref_=sr_t_241,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
241,Iron Man 3,7.1,62,886812,https://www.imdb.com/title/tt1300854/?ref_=sr_t_242,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
242,Solo: A Star Wars Story,6.9,62,371695,https://www.imdb.com/title/tt3778644/?ref_=sr_t_243,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes."
243,Fantastic Mr,7.9,83,262063,https://www.imdb.com/title/tt0432283/?ref_=sr_t_244,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
244,Star Trek,7.9,82,616164,https://www.imdb.com/title/tt0796366/?ref_=sr_t_245,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
245,Robin Hood: Prince of Thieves,6.9,51,205034,https://www.imdb.com/title/tt0102798/?ref_=sr_t_246,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.
246,War of the Worlds,6.5,73,468812,https://www.imdb.com/title/tt0407304/?ref_=sr_t_247,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
247,Kung Fu Panda,7.6,74,504276,https://www.imdb.com/title/tt0441773/?ref_=sr_t_248,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
248,Spotlight,8.1,93,493835,https://www.imdb.com/title/tt1895587/?ref_=sr_t_249,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
249,Children of Men,7.9,84,521579,https://www.imdb.com/title/tt0206634/?ref_=sr_t_250,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
250,Up,8.3,88,1101804,https://www.imdb.com/title/tt1049413/?ref_=sr_t_251,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
251,Incendies,8.3,80,192195,https://www.imdb.com/title/tt1255953/?ref_=sr_t_252,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
252,The Hobbit: The Desolation of Smaug,7.8,66,692887,https://www.imdb.com/title/tt1170358/?ref_=sr_t_253,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
253,Star Wars: Episode III - Revenge of the Sith,7.6,68,830922,https://www.imdb.com/title/tt0121766/?ref_=sr_t_254,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy."
254,How to Train Your Dragon,8.1,75,783362,https://www.imdb.com/title/tt0892769/?ref_=sr_t_255,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
255,Starship Troopers,7.3,52,312788,https://www.imdb.com/title/tt0120201/?ref_=sr_t_256,"Humans in a fascist, militaristic future wage war with giant alien bugs."
256,Fantastic Beasts and Where to Find Them,7.2,66,499031,https://www.imdb.com/title/tt3183660/?ref_=sr_t_257,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
257,In Bruges,7.9,67,454168,https://www.imdb.com/title/tt0780536/?ref_=sr_t_258,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
258,The Ballad of Buster Scruggs,7.3,79,163266,https://www.imdb.com/title/tt6412452/?ref_=sr_t_259,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
259,Far from Heaven,7.3,84,48593,https://www.imdb.com/title/tt0297884/?ref_=sr_t_260,"In 1950s Connecticut, a flustered housewife faces a marital crisis and mounting racial tensions in the outside world."
260,Skyfall,7.8,81,721826,https://www.imdb.com/title/tt1074638/?ref_=sr_t_261,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
261,Alice in Wonderland,6.4,53,434414,https://www.imdb.com/title/tt1014759/?ref_=sr_t_262,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
262,Donnie Brasco,7.7,76,326057,https://www.imdb.com/title/tt0119008/?ref_=sr_t_263,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.
263,American Sniper,7.3,72,519064,https://www.imdb.com/title/tt2179136/?ref_=sr_t_264,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
264,Frozen II,6.8,64,188922,https://www.imdb.com/title/tt4520988/?ref_=sr_t_265,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
265,Chicago,7.2,81,239960,https://www.imdb.com/title/tt0299658/?ref_=sr_t_266,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
266,Click,6.4,45,350325,https://www.imdb.com/title/tt0389860/?ref_=sr_t_267,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
267,JFK,8.0,72,167101,https://www.imdb.com/title/tt0102138/?ref_=sr_t_268,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
268,Spectre,6.8,60,459704,https://www.imdb.com/title/tt2379713/?ref_=sr_t_269,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
269,Sleepless in Seattle,6.8,72,187388,https://www.imdb.com/title/tt0108160/?ref_=sr_t_270,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
270,Amélie,8.3,69,783724,https://www.imdb.com/title/tt0211915/?ref_=sr_t_271,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
271,Minari,7.4,89,92641,https://www.imdb.com/title/tt10633456/?ref_=sr_t_272,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home."
272,Juno,7.5,81,542736,https://www.imdb.com/title/tt0467406/?ref_=sr_t_273,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child."
273,Little Miss Sunshine,7.8,80,508216,https://www.imdb.com/title/tt0449059/?ref_=sr_t_274,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
274,Tangled,7.7,71,483384,https://www.imdb.com/title/tt0398286/?ref_=sr_t_275,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
275,12 Years a Slave,8.1,96,730546,https://www.imdb.com/title/tt2024544/?ref_=sr_t_276,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
276,The Godfather Part III,7.6,60,417364,https://www.imdb.com/title/tt0099674/?ref_=sr_t_277,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
277,Scent of a Woman,8.0,57,321251,https://www.imdb.com/title/tt0105323/?ref_=sr_t_278,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
278,Vicky Cristina Barcelona,7.1,70,266182,https://www.imdb.com/title/tt0497465/?ref_=sr_t_279,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
279,Big Fish,8.0,58,454185,https://www.imdb.com/title/tt0319061/?ref_=sr_t_280,A frustrated son tries to determine the fact from fiction in his dying father's life.
280,Face/Off,7.3,82,394721,https://www.imdb.com/title/tt0119094/?ref_=sr_t_281,"To foil a terrorist plot, FBI agent Sean Archer assumes the identity of the criminal Castor Troy who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge."
281,Love and Monsters,6.9,63,139293,https://www.imdb.com/title/tt2222042/?ref_=sr_t_282,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart."
282,Birdman or (The Unexpected Virtue of Ignorance),7.7,87,656877,https://www.imdb.com/title/tt2562232/?ref_=sr_t_283,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
283,A.I,7.2,65,319347,https://www.imdb.com/title/tt0212720/?ref_=sr_t_284,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother."
284,Warrior,8.1,71,491012,https://www.imdb.com/title/tt1291584/?ref_=sr_t_285,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
285,Mystic River,7.9,84,476743,https://www.imdb.com/title/tt0327056/?ref_=sr_t_286,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
286,Cinderella,6.9,67,187436,https://www.imdb.com/title/tt1661199/?ref_=sr_t_287,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
287,Brokeback Mountain,7.7,87,375476,https://www.imdb.com/title/tt0388795/?ref_=sr_t_288,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
288,Hercules,7.3,74,249382,https://www.imdb.com/title/tt0119282/?ref_=sr_t_289,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
289,The Last Samurai,7.8,55,462782,https://www.imdb.com/title/tt0325710/?ref_=sr_t_290,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
290,The Village,6.6,44,274008,https://www.imdb.com/title/tt0368447/?ref_=sr_t_291,A series of events tests the beliefs of a small isolated countryside village.
291,Phantom Thread,7.4,90,142165,https://www.imdb.com/title/tt5776858/?ref_=sr_t_292,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
292,Downfall,8.2,82,369743,https://www.imdb.com/title/tt0363163/?ref_=sr_t_293,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
293,12 Monkeys,8.0,74,638903,https://www.imdb.com/title/tt0114746/?ref_=sr_t_294,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
294,Little Women,7.3,87,62311,https://www.imdb.com/title/tt0110367/?ref_=sr_t_295,The March sisters live and grow in post-Civil War America.
295,Blue Valentine,7.3,81,208154,https://www.imdb.com/title/tt1120985/?ref_=sr_t_296,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
296,Cast Away,7.8,73,625914,https://www.imdb.com/title/tt0162222/?ref_=sr_t_297,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
297,Greyhound,7.0,64,109310,https://www.imdb.com/title/tt6048922/?ref_=sr_t_298,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack."
298,Pirates of the Caribbean: Dead Man's Chest,7.4,53,754090,https://www.imdb.com/title/tt0383574/?ref_=sr_t_299,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
299,Ad Astra,6.5,80,255366,https://www.imdb.com/title/tt2935510/?ref_=sr_t_300,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
300,Thirteen,6.8,70,95754,https://www.imdb.com/title/tt0328538/?ref_=sr_t_301,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend."
301,Legends of the Fall,7.5,45,178920,https://www.imdb.com/title/tt0110322/?ref_=sr_t_302,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
302,"Monsters, Inc.",8.1,79,959185,https://www.imdb.com/title/tt0198781/?ref_=sr_t_303,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
303,The Patriot,7.2,63,289163,https://www.imdb.com/title/tt0187393/?ref_=sr_t_304,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
304,Spider-Man 2,7.5,83,693132,https://www.imdb.com/title/tt0316654/?ref_=sr_t_305,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.
305,Ghost,7.1,52,231260,https://www.imdb.com/title/tt0099653/?ref_=sr_t_306,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
306,My Cousin Vinny,7.6,68,137042,https://www.imdb.com/title/tt0104952/?ref_=sr_t_307,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
307,The Hobbit: The Battle of the Five Armies,7.4,59,560410,https://www.imdb.com/title/tt2310332/?ref_=sr_t_308,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
308,Bridesmaids,6.8,75,305393,https://www.imdb.com/title/tt1478338/?ref_=sr_t_309,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
309,District 9,7.9,81,707612,https://www.imdb.com/title/tt1136608/?ref_=sr_t_310,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
310,Wonder,7.9,66,174890,https://www.imdb.com/title/tt2543472/?ref_=sr_t_311,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
311,Anastasia,7.1,61,133280,https://www.imdb.com/title/tt0118617/?ref_=sr_t_312,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
312,Alien³,6.4,59,314684,https://www.imdb.com/title/tt0103644/?ref_=sr_t_313,"Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor."
313,Pieces of a Woman,7.0,66,54982,https://www.imdb.com/title/tt11161474/?ref_=sr_t_314,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss."
314,Bombshell,6.8,64,124290,https://www.imdb.com/title/tt6394270/?ref_=sr_t_315,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.
315,The Hunt for Red October,7.5,58,210914,https://www.imdb.com/title/tt0099810/?ref_=sr_t_316,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?"
316,Star Wars: Episode II - Attack of the Clones,6.6,54,745832,https://www.imdb.com/title/tt0121765/?ref_=sr_t_317,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi."
317,"I, Tonya",7.5,77,236623,https://www.imdb.com/title/tt5580036/?ref_=sr_t_318,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
318,All Things Fair,6.8,74,7361,https://www.imdb.com/title/tt0113720/?ref_=sr_t_319,"Stig, a 15-year-old student, is attracted to the beauty of Viola, his 37-year-old teacher, and she, drawn to his youth and innocence, feels that he is a God-sent relief for her drunken and miserable husband."
319,Clear and Present Danger,6.9,68,106196,https://www.imdb.com/title/tt0109444/?ref_=sr_t_320,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
320,A River Runs Through It,7.2,67,64319,https://www.imdb.com/title/tt0105265/?ref_=sr_t_321,"Two sons of a stern minister - one reserved, one rebellious - grow up in rural 1920s Montana while devoted to fly fishing."
321,Guardians of the Galaxy Vol,7.6,63,743375,https://www.imdb.com/title/tt3896198/?ref_=sr_t_322,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
322,True Lies,7.3,61,275763,https://www.imdb.com/title/tt0111503/?ref_=sr_t_323,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
323,Ice Age,7.5,75,507997,https://www.imdb.com/title/tt0268380/?ref_=sr_t_324,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
324,X-Men: Days of Future Past,7.9,75,736226,https://www.imdb.com/title/tt1877832/?ref_=sr_t_325,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
325,Darkest Hour,7.4,49,215893,https://www.imdb.com/title/tt4555426/?ref_=sr_t_326,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire."
326,Sleepers,7.5,90,234343,https://www.imdb.com/title/tt0117665/?ref_=sr_t_327,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge."
327,Winter's Bone,7.1,73,148335,https://www.imdb.com/title/tt1399683/?ref_=sr_t_328,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
328,Cape Fear,7.3,64,211683,https://www.imdb.com/title/tt0101540/?ref_=sr_t_329,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
329,The Prince of Egypt,7.2,72,142783,https://www.imdb.com/title/tt0120794/?ref_=sr_t_330,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
330,Captain Fantastic,7.8,79,230834,https://www.imdb.com/title/tt3553976/?ref_=sr_t_331,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
331,Silence,7.2,83,120463,https://www.imdb.com/title/tt0490215/?ref_=sr_t_332,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
332,Sweeney Todd: The Demon Barber of Fleet Street,7.3,92,382584,https://www.imdb.com/title/tt0408236/?ref_=sr_t_333,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett."
333,Toy Story 3,8.3,64,877379,https://www.imdb.com/title/tt0435761/?ref_=sr_t_334,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
334,Blood Diamond,8.0,57,576764,https://www.imdb.com/title/tt0450259/?ref_=sr_t_335,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
335,The Addams Family,6.9,72,176828,https://www.imdb.com/title/tt0101272/?ref_=sr_t_336,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
336,Straight Outta Compton,7.8,72,214553,https://www.imdb.com/title/tt1398426/?ref_=sr_t_337,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
337,Doctor Strange,7.5,65,788696,https://www.imdb.com/title/tt1211837/?ref_=sr_t_338,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
338,Sleepy Hollow,7.3,62,379108,https://www.imdb.com/title/tt0162661/?ref_=sr_t_339,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.
339,A Few Good Men,7.7,78,281479,https://www.imdb.com/title/tt0104257/?ref_=sr_t_340,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
340,Magnolia,8.0,88,324768,https://www.imdb.com/title/tt0175880/?ref_=sr_t_341,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
341,The King's Speech,8.0,86,701009,https://www.imdb.com/title/tt1504320/?ref_=sr_t_342,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
342,Million Dollar Baby,8.1,68,712318,https://www.imdb.com/title/tt0405159/?ref_=sr_t_343,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
343,Twister,6.5,77,208562,https://www.imdb.com/title/tt0117998/?ref_=sr_t_344,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
344,The Aviator,7.5,95,378984,https://www.imdb.com/title/tt0338751/?ref_=sr_t_345,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
345,Zero Dark Thirty,7.4,77,314719,https://www.imdb.com/title/tt1790885/?ref_=sr_t_346,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
